Course,Name,Prerequisite Courses,Prerequisite Credits,SU Credits,ECTS Credits,Type,Information System URL,Sabancı Website URL,Corequisite Courses,Faculty,General Requirements ,,,,,,,,,,
CULT 327,Postcolonial Theory and Its Discontents,CULT 201 or SOC 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 342,Gender and Nationalism,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 355,Urban Spaces and Cultures,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 360,Consumer Society and Cultures,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 361,Oral History,__,,3,7,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 362,Memory Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 364,Topics in Memory Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 368,Globalization and Health Inequalities,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 370,Everyday Life,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 384,Political Ecology and Society,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 391,Turkish Culture: Critical Perspectives,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 399,Independent Study,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 420,"Science, Technology and Culture",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 421,Digital Humanities,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 432,Modernism/Postmodernism,HUM 201 or CULT 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 434,Advanced Cultural Theory,CULT 201 or SOC 201,,3,7,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 435,Representations of Violence,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 446,Gender and Media,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 449,Harem Fictions: From Montesquieu to Mernissi,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 451,"Nation, History and Culture in Museums",CULT 201 or CULT 291,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 452,"Myth, Art and Politics",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 453,Spaces of Migration,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 454,Cultures of Migration,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 460,Cultures and Politics of Law Reform,CULT 201 or SOC 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 462,Postsocialism,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 491,Advanced Topics in Cultural Studies I,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 492,Advanced Topics in Cultural Studies II,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 493,Thematic Approaches to Contemporary Turkish Culture,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 201,Games and Strategies,__,,3,6,"Area Elective, Faculty Course",Information System,Sabancı University,ECON 201R,FASS,,,,,,,,,,,
ECON 202,Macroeconomics,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ECON 202R,FASS,,,,,,,,,,,
ECON 204,Microeconomics,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ECON 204R,FASS,,,,,,,,,,,
ECON 301,Econometrics,MATH 306 and ECON 204,,3,7,Free Elective,Information System,Sabancı University,ECON 301R,FASS,,,,,,,,,,,
ECON 310,Game Theory,ECON 204 and ECON 201,,3,6,Free Elective,Information System,Sabancı University,ECON 310R,FASS,,,,,,,,,,,
ECON 312,Behavioral Economics,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 320,Public Economics,ECON 204 and ECON 202 and ECON 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 321,Education Economics and Policy,ECON 301,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 322,Health Economics and Policy,ECON 202 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 323,Energy and Environmental Economics,ECON 201 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 330,Industrial Organization,ECON 204 and ECON 201 and ECON 301,,3,6,Free Elective,Information System,Sabancı University,ECON 330R,FASS,,,,,,,,,,,
ECON 335,Economics of Information,ECON 201 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 340,International Economics,ECON 202 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,ECON 340R,FASS,,,,,,,,,,,
ECON 341,Corporate Finance,ECON 204 and ECON 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 345,International Finance,ECON 202,,3,6,Free Elective,Information System,Sabancı University,ECON 345R,FASS,,,,,,,,,,,
ECON 346,Global Finance and Multinational Corporation,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 347,Essentials of Project and Infrastructure Finance,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 350,Financial Institutions and Markets,ECON 201 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 360,Advanced Macroeconomics,ECON 202 and ECON 204,,3,7,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 370,Advanced Microeconomics,ECON 201 and ECON 204,,3,7,Free Elective,Information System,Sabancı University,ECON 370R,FASS,,,,,,,,,,,
ECON 391,Topics in Macroeconomics: Emerging Market Macroeconomics,ECON 202,,3,6,Free Elective,Information System,Sabancı University,ECON 391R,FASS,,,,,,,,,,,
ECON 399,Independent Study,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 400,History of Economic Thought,ECON 202 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 401,Applied Econometrics,ECON 301,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 403,Economic History,ECON 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 405,Law and Economics,ECON 201 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 407,The Political Economy of European Integration,ECON 340,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 412,Competition and Regulation,ECON 301 and ECON 330,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 414,Applied Macroeconomics,ECON 202 and ECON 301,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 420,Growth and Development,ECON 202 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 422,From Plan to Market: Economic Transformation in Eastern Europe,ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 423,Economics of the Welfare State,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 424,Welfare Economics,ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 425,Topics in Political Economics,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 430,Labor Economics,ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 440,Topics in Economics of Globalization and Development,ECON 340,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 450,Microeconomics of Banking,ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 481,Advanced Microeconomic Theory I,__,,4,7,Free Elective,Information System,Sabancı University,ECON 481R,FASS,,,,,,,,,,,
ECON 482,Advanced Microeconomic Theory II,__,,4,7,Free Elective,Information System,Sabancı University,ECON 482R,FASS,,,,,,,,,,,
ECON 483,Advanced Macroeconomic Theory I,__,,4,7,Free Elective,Information System,Sabancı University,ECON 483R,FASS,,,,,,,,,,,
ECON 484,Advanced Macroeconomic Theory II,__,,4,7,Free Elective,Information System,Sabancı University,ECON 484R,FASS,,,,,,,,,,,
ECON 485,Advanced Quantitative Methods,__,,4,8,Free Elective,Information System,Sabancı University,ECON 485R,FASS,,,,,,,,,,,
ECON 486,Advanced Econometric Theory,__,,4,7,Free Elective,Information System,Sabancı University,ECON 486R,FASS,,,,,,,,,,,
ECON 488,Matchings and Markets,ECON 204 and ECON 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 491,Topics in Economic Theory,ECON 204 and ECON 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 492,Seminar on the Turkish Economy,ECON 202 and ECON 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 493,Understanding Chinese Economy,ECON 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ECON 494,Spatial Data Science,__,,3,6,Area Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
EE 200,Electronic Circuit Implementations,ENS 203,,2,2,Area Elective,Information System,Sabancı University,EE 202,FENS,,,,,,,,,,,
EE 202,Electronic Circuits II,ENS 203,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,"EE 200, and EE 202R",FENS,,,,,,,,,,,
EE 301,Electromagnetics II,ENS 201,,3,6,Free Elective,Information System,Sabancı University,EE 301R,FENS,,,,,,,,,,,
EE 302,Digital Integrated Circuits,EL 202 or EE 202,,3,6,Free Elective,Information System,Sabancı University,"EE 302L, and EE 302R",FENS,,,,,,,,,,,
EE 303,Analog Integrated Circuits,EL 202 or EE 202,,3,6,Free Elective,Information System,Sabancı University,EE 303R,FENS,,,,,,,,,,,
EE 306,Introduction to Radio Frequency and Microwave Design,ENS 201 and (EL 303 or EE 303),,3,6,Free Elective,Information System,Sabancı University,EE 306R,FENS,,,,,,,,,,,
EE 307,Semiconductor Physics and Devices,ENS 203,,3,6,Free Elective,Information System,Sabancı University,EE 307R,FENS,,,,,,,,,,,
EE 308,Microcomputer Based System Design,CS 303,,4,7,Core Elective,Information System,Sabancı University,"EE 308L, and EE 308R",FENS,,,,,,,,,,,
EE 310,Hardware Description Languages,CS 303,,3,6,Area Elective,Information System,Sabancı University,EE 310L,FENS,,,,,,,,,,,
EE 311,Introduction to Signal Processing and Information Systems,ENS 211,,3,6,Free Elective,Information System,Sabancı University,EE 311R,FENS,,,,,,,,,,,
EE 312,Discrete-Time Signals and Systems,ENS 211,,3,6,Area Elective,Information System,Sabancı University,EE 312R,FENS,,,,,,,,,,,
EE 313,Introduction to Communication Systems,ENS 211,,3,6,Free Elective,Information System,Sabancı University,EE 313R,FENS,,,,,,,,,,,
EE 314,Digital Communications,ENS 211,,3,6,Free Elective,Information System,Sabancı University,EE 314R,FENS,,,,,,,,,,,
EE 401,Very Large Scale Integrated System Design I,CS 303 and (EL 302 or EE 302),,3,6,Free Elective,Information System,Sabancı University,EE 401L,FENS,,,,,,,,,,,
EE 402,Very Large Scale Integrated System Design II,EE 401 or EL 401,,3,6,Free Elective,Information System,Sabancı University,EE 402R,FENS,,,,,,,,,,,
EE 403,Optoelectronics,EE 307,,3,6,Free Elective,Information System,Sabancı University,EE 403R,FENS,,,,,,,,,,,
EE 404,Introduction to Microelectromechanical Systems,ENS 203,,3,6,Free Elective,Information System,Sabancı University,EE 404L,FENS,,,,,,,,,,,
EE 405,Communication Circuit Design,EL 303 or EE 303,,3,6,Free Elective,Information System,Sabancı University,"EE 405L, and EE 405R",FENS,,,,,,,,,,,
EE 406,Antennas and Propagation for Wireless Communication,TE 305 or EE 301,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
EE 407,Microelectronic Fabrication,EL 204 or EE 307,,3,6,Free Elective,Information System,Sabancı University,EE 407L,FENS,,,,,,,,,,,
EE 408,Modeling of Semiconductor Devices,(EL 202 or EE 202) and (EL 204 or EE 307),,3,6,Free Elective,Information System,Sabancı University,EE 408R,FENS,,,,,,,,,,,
EE 409,Microwaves,ENS 201,,3,6,Free Elective,Information System,Sabancı University,EE 409R,FENS,,,,,,,,,,,
EE 410,Information and Coding Theory,MATH 201 and MATH 203,,3,6,Area Elective,Information System,Sabancı University,EE 410R,FENS,,,,,,,,,,,
EE 411,RF Integrated Circuits.,EE 306,,3,6,Free Elective,Information System,Sabancı University,EE 411L,FENS,,,,,,,,,,,
EE 413,Wireless Communications,TE 304 or EE 314,,3,6,Area Elective,Information System,Sabancı University,EE 413R,FENS,,,,,,,,,,,
